image,class,confidence_percent,bbox_width,bbox_height,bbox_area,aspect_ratio,damage_shape,center_x,center_y,severity_score,severity_label
ContainerDamage_1011.jpg,DENT,51.46,228.72,298.87,68358.66,0.765,tall,207.07,482,35176.95,High
ContainerDamage_1035.jpg,DENT,47.61,145.1,304.26,44147.97,0.477,tall,207.36,411.9,21017.23,High
ContainerDamage_1035.jpg,DENT,30.73,88.77,124.39,11042.15,0.714,tall,542.87,538.26,3393.17,Low
ContainerDamage_1045.jpg,DENT,75.22,195.67,323.38,63276.35,0.605,tall,474.76,284.32,47593.68,High
ContainerDamage_1045.jpg,DENT,26.9,141.39,288.59,40804.48,0.49,tall,477.77,267.67,10977.53,High
ContainerDamage_1061.jpg,DENT,55.03,151.77,148.39,22520.76,1.023,wide,561.4,314.51,12393.74,High
ContainerDamage_1070.jpg,DAMAGE - DEFRAME,79.85,571.17,562.63,321357.86,1.015,wide,317.78,283.03,256590.84,High
ContainerDamage_1070.jpg,DAMAGE - DEFRAME,73.77,412.37,463.58,191165.26,0.89,tall,256.08,245.84,141023.97,High
ContainerDamage_1070.jpg,DAMAGE - DEFRAME,53.86,334.71,332.72,111366.49,1.006,wide,292.07,172.39,59980.48,High
ContainerDamage_1070.jpg,DAMAGE - DEFRAME,51.95,585.23,257.17,150500.69,2.276,wide,321.78,319.4,78180.69,High
ContainerDamage_1072.jpg,DAMAGE - DEFRAME,27.34,544.43,258.81,140904.52,2.104,wide,346.04,226.25,38517.38,High
ContainerDamage_1079.jpg,DENT,28.1,237.12,312.05,73993.95,0.76,tall,148.41,422.76,20794.15,High
ContainerDamage_1084.jpg,DENT,72.72,89.75,97.07,8711.97,0.925,tall,208.4,430.55,6335.39,Low
ContainerDamage_1145.jpg,DENT,43.68,301.46,75.07,22629.07,4.016,wide,212.42,136.25,9884.26,High
ContainerDamage_1147.jpg,DENT,43.43,104.51,168.71,17630.81,0.619,tall,506.06,487.64,7657.55,Low
ContainerDamage_1148.jpg,DENT,33.61,462.03,219.26,101303.78,2.107,wide,282.83,288.63,34046.54,High
ContainerDamage_1148.jpg,DENT,27.73,440.37,163.55,72021.71,2.693,wide,255.91,316.55,19971.58,High
ContainerDamage_1148.jpg,DENT,25.28,350.28,200.62,70273.58,1.746,wide,327.54,268.95,17766.63,High
ContainerDamage_1151.jpg,DENT,54.55,166.03,132.32,21968.15,1.255,wide,547.78,66.16,11984.72,High
ContainerDamage_1156.jpg,DENT,44.32,179.32,129.25,23177.12,1.387,wide,390.12,64.62,10272.67,High
ContainerDamage_1172.jpg,DENT,39.3,440.59,380.65,167711.96,1.157,wide,409.48,267.37,65906.09,High
ContainerDamage_1172.jpg,DENT,29.22,363.27,166.91,60635.93,2.176,wide,458.36,174.44,17719.26,High
ContainerDamage_1175.jpg,DENT,25.3,479.04,196.99,94366.32,2.432,wide,246.47,220.02,23875.5,High
ContainerDamage_1177.jpg,DENT,62.99,222.99,428.42,95534.44,0.52,tall,146.15,258.99,60176.98,High
ContainerDamage_1177.jpg,DENT,33.03,162.53,364.52,59245,0.446,tall,150.36,253.1,19570.35,High
ContainerDamage_1178.jpg,DENT,42.69,323.01,600.75,194045.47,0.538,tall,413.21,339.63,82846.46,High
ContainerDamage_1221.jpg,DENT,50.65,336.58,232.61,78289.56,1.447,wide,268.25,340.07,39652.98,High
ContainerDamage_1221.jpg,DENT,47.46,243.12,207.7,50496.17,1.17,wide,273.13,342.26,23965.2,High
ContainerDamage_1264.jpg,DAMAGE - RUST,92.83,54.19,74.26,4024.06,0.73,tall,227.42,474.58,3735.6,Low
ContainerDamage_1264.jpg,DAMAGE - RUST,91.42,62.6,48.75,3051.58,1.284,wide,411.61,399.79,2789.67,Low
ContainerDamage_1264.jpg,DAMAGE - RUST,54.61,17.64,43.13,760.92,0.409,tall,525.79,234.05,415.56,Low
ContainerDamage_1264.jpg,DAMAGE - RUST,51.74,24.86,49.78,1237.63,0.5,tall,524.91,235.2,640.33,Low
ContainerDamage_1264.jpg,DAMAGE - RUST,48.74,44.93,58.5,2628.56,0.768,tall,230.51,480.39,1281.2,Low
ContainerDamage_1264.jpg,DAMAGE - RUST,46.62,42.69,32.32,1379.84,1.321,wide,410.41,202.96,643.24,Low
ContainerDamage_1264.jpg,DAMAGE - RUST,44.97,19.17,43.81,840.04,0.438,tall,173.72,385.92,377.75,Low
ContainerDamage_1264.jpg,DAMAGE - RUST,41.96,25.23,50.24,1267.36,0.502,tall,172.73,386.6,531.75,Low
ContainerDamage_1264.jpg,DAMAGE - RUST,37.42,72.94,68.68,5009.38,1.062,wide,409.99,402.08,1874.43,Low
ContainerDamage_1264.jpg,DAMAGE - RUST,33.26,50.23,45.27,2273.82,1.11,wide,407.1,202.67,756.3,Low
ContainerDamage_1264.jpg,DAMAGE - RUST,32.68,85.17,72.93,6211.05,1.168,wide,387.56,277.51,2030.04,Low
ContainerDamage_1264.jpg,DAMAGE - RUST,31.79,71.12,81.21,5775.62,0.876,tall,223.78,470.72,1836.33,Low
ContainerDamage_1264.jpg,DAMAGE - RUST,30.58,67.65,46.64,3155.03,1.451,wide,383.62,269.89,964.66,Low
ContainerDamage_1294.jpg,DENT,36.4,502.8,547.6,275333.16,0.918,tall,284.44,300.05,100228.1,High
ContainerDamage_1311.jpg,DAMAGE - DEFRAME,53.72,134.73,357.76,48199.43,0.377,tall,375.4,258.98,25893.69,High
ContainerDamage_1311.jpg,DAMAGE - DEFRAME,45.19,102.09,323.18,32994.22,0.316,tall,379.71,262.01,14909.91,High
ContainerDamage_1311.jpg,DAMAGE - DEFRAME,28.13,80.92,385.77,31217.24,0.21,tall,378.86,242.66,8780.5,High
ContainerDamage_1325.jpg,DENT,32.09,254.22,120.3,30583.78,2.113,wide,152.74,576.26,9814.72,High
ContainerDamage_1329.jpg,DENT,25.12,126.69,337.92,42809.38,0.375,tall,63.56,447.22,10755.55,High
ContainerDamage_1337.jpg,DENT,43.71,81.5,262.15,21365.1,0.311,tall,438.45,131.91,9338.87,High
ContainerDamage_1337.jpg,DENT,38.22,105.31,213.36,22468.13,0.494,tall,555.51,176.56,8588.3,High
ContainerDamage_1337.jpg,DENT,31.24,120.19,278.68,33494.07,0.431,tall,560.86,143.93,10464.14,High
ContainerDamage_1345.jpg,DENT,42.43,219.06,253.87,55614,0.863,tall,417.48,497.28,23599.04,High
ContainerDamage_1349.jpg,DENT,31.13,225.9,225.04,50837.01,1.004,wide,524.75,113,15823.12,High
ContainerDamage_1349.jpg,DENT,25.68,164.96,214.2,35333.67,0.77,tall,535.72,109.25,9073.53,High
ContainerDamage_1352.jpg,DENT,33.06,293.38,242.62,71181.66,1.209,wide,184.65,224.62,23529.34,High
ContainerDamage_1360.jpg,DENT,26.85,418.5,321.89,134711.24,1.3,wide,231.48,198.32,36165.25,High
ContainerDamage_137.jpg,DAMAGE - DEFRAME,75.85,48.87,361.99,17689.47,0.135,tall,412.15,396.5,13418.18,Low
ContainerDamage_137.jpg,DAMAGE - DEFRAME,36.39,67.78,335.72,22753.95,0.202,tall,414.36,384.95,8281.25,High
ContainerDamage_1380.jpg,DENT,31.62,155.74,126.2,19653.75,1.234,wide,523.01,576.9,6214.59,Low
ContainerDamage_1380.jpg,DENT,27.79,145.45,230.86,33579.87,0.63,tall,415.39,420.21,9332.67,High
ContainerDamage_1380.jpg,DENT,25.03,115.12,99.92,11501.89,1.152,wide,252.56,580.67,2879.09,Low
ContainerDamage_1391.jpg,DENT,59.35,382.49,146.01,55847.11,2.62,wide,448.75,234.5,33145.29,High
ContainerDamage_1409.jpg,DENT,47.86,124.7,115.03,14344.36,1.084,wide,240.27,133.4,6865.5,Low
ContainerDamage_1409.jpg,DENT,36.67,145.66,149.2,21732.97,0.976,tall,241.01,127.73,7970.17,High
ContainerDamage_1444.jpg,DENT,50.97,221.85,122.02,27069.38,1.818,wide,529.08,338.23,13797.74,High
ContainerDamage_1445.jpg,DENT,33.68,190.86,236.05,45052.09,0.809,tall,363.93,498.63,15173.67,High
ContainerDamage_1459.jpg,DENT,30.41,291.96,151.52,44236.06,1.927,wide,275.44,94.68,13452.03,High
ContainerDamage_1459.jpg,DENT,28.19,138.93,116.87,16236.06,1.189,wide,455.19,500.53,4576.18,Low
ContainerDamage_1466.jpg,DENT,42.08,290.88,97.88,28470.9,2.972,wide,358.81,109.3,11981.15,High
ContainerDamage_1468.jpg,DENT,28.2,280.17,275.33,77141.14,1.018,wide,264.21,457.95,21752.76,High
ContainerDamage_151.jpg,DAMAGE - DEFRAME,35.31,265.67,321.15,85320.93,0.827,tall,393.43,422.12,30127.98,High
ContainerDamage_1519.jpg,DAMAGE - DEFRAME,41.31,185.59,481.91,89438.6,0.385,tall,546.68,242.37,36950.79,High
ContainerDamage_1519.jpg,DAMAGE - DEFRAME,30.98,252.07,535.64,135019.29,0.471,tall,513.96,269.11,41825.63,High
