prediction_time,image,image_id,image_width,image_height,image_size_kb,class,class_id,confidence_percent,x1,y1,x2,y2,bbox_width,bbox_height,bbox_area,bbox_perimeter,bbox_area_normalized,damage_center_x,damage_center_y,aspect_ratio,damage_shape,severity_score,severity_label
2025-11-04 23:05:16,ContainerDamage_1011.jpg,ContainerDamage_1011,640,640,31.97,DENT,1,51.46,92.7,332.57,321.43,631.44,228.72,298.87,68358.66,1055.19,0.1669,207.07,482.0,0.765,tall,35176.95,High
2025-11-04 23:05:16,ContainerDamage_1035.jpg,ContainerDamage_1035,640,640,64.84,DENT,1,47.61,134.81,259.77,279.91,564.02,145.1,304.26,44147.97,898.72,0.1078,207.36,411.9,0.477,tall,21017.23,High
2025-11-04 23:05:16,ContainerDamage_1035.jpg,ContainerDamage_1035,640,640,64.84,DENT,1,30.73,498.48,476.07,587.25,600.46,88.77,124.39,11042.15,426.32,0.027,542.87,538.26,0.714,tall,3393.17,Low
2025-11-04 23:05:16,ContainerDamage_1045.jpg,ContainerDamage_1045,640,640,117.96,DENT,1,75.22,376.93,122.62,572.6,446.01,195.67,323.38,63276.35,1038.11,0.1545,474.76,284.32,0.605,tall,47593.68,High
2025-11-04 23:05:16,ContainerDamage_1045.jpg,ContainerDamage_1045,640,640,117.96,DENT,1,26.9,407.07,123.38,548.47,411.96,141.39,288.59,40804.48,859.96,0.0996,477.77,267.67,0.49,tall,10977.53,High
2025-11-04 23:05:16,ContainerDamage_1061.jpg,ContainerDamage_1061,640,640,130.94,DENT,1,55.03,485.51,240.32,637.28,388.71,151.77,148.39,22520.76,600.31,0.055,561.4,314.51,1.023,wide,12393.74,High
2025-11-04 23:05:16,ContainerDamage_1070.jpg,ContainerDamage_1070,640,640,61.45,DAMAGE - DEFRAME,0,79.85,32.2,1.72,603.36,564.35,571.17,562.63,321357.86,2267.6,0.7846,317.78,283.03,1.015,wide,256590.84,High
2025-11-04 23:05:16,ContainerDamage_1070.jpg,ContainerDamage_1070,640,640,61.45,DAMAGE - DEFRAME,0,73.77,49.89,14.06,462.26,477.63,412.37,463.58,191165.26,1751.89,0.4667,256.08,245.84,0.89,tall,141023.97,High
2025-11-04 23:05:16,ContainerDamage_1070.jpg,ContainerDamage_1070,640,640,61.45,DAMAGE - DEFRAME,0,53.86,124.72,6.03,459.43,338.75,334.71,332.72,111366.49,1334.87,0.2719,292.07,172.39,1.006,wide,59980.48,High
2025-11-04 23:05:16,ContainerDamage_1070.jpg,ContainerDamage_1070,640,640,61.45,DAMAGE - DEFRAME,0,51.95,29.16,190.82,614.39,447.99,585.23,257.17,150500.69,1684.79,0.3674,321.78,319.4,2.276,wide,78180.69,High
2025-11-04 23:05:16,ContainerDamage_1072.jpg,ContainerDamage_1072,640,640,179.48,DAMAGE - DEFRAME,0,27.34,73.83,96.84,618.26,355.65,544.43,258.81,140904.52,1606.49,0.344,346.04,226.25,2.104,wide,38517.38,High
2025-11-04 23:05:16,ContainerDamage_1079.jpg,ContainerDamage_1079,640,640,145.08,DENT,1,28.1,29.85,266.74,266.98,578.78,237.12,312.05,73993.95,1098.34,0.1806,148.41,422.76,0.76,tall,20794.15,High
2025-11-04 23:05:16,ContainerDamage_1084.jpg,ContainerDamage_1084,640,640,40.0,DENT,1,72.72,163.52,382.01,253.27,479.08,89.75,97.07,8711.97,373.64,0.0213,208.4,430.55,0.925,tall,6335.39,Low
2025-11-04 23:05:16,ContainerDamage_1145.jpg,ContainerDamage_1145,640,640,33.48,DENT,1,43.68,61.69,98.72,363.15,173.79,301.46,75.07,22629.07,753.04,0.0552,212.42,136.25,4.016,wide,9884.26,High
